date,rpi1,rpi2,rpi3,rpi4
2017-12-18 00:00:00,53.19858333333334,48.894833333333345,49.56700000000001,42.504999999999995
2017-12-18 01:00:00,53.423,48.93966666666668,49.79108333333334,42.6395
2017-12-18 02:00:00,53.42291666666667,48.76033333333334,49.74633333333335,42.460166666666666
2017-12-18 03:00:00,53.42291666666667,48.93958333333334,49.746166666666674,42.505
2017-12-18 04:00:00,53.5575,48.98450000000002,49.74633333333335,42.54983333333333
2017-12-18 05:00:00,53.42283333333333,49.02933333333335,50.104833333333346,42.684333333333335
2017-12-18 06:00:00,53.51266666666667,48.98450000000002,49.656500000000015,42.639500000000005
2017-12-18 07:00:00,53.37800000000001,48.98450000000002,49.61175000000002,42.460166666666666
2017-12-18 08:00:00,53.467666666666666,49.02933333333335,50.10491666666667,42.59466666666666
2017-12-18 09:00:00,53.46783333333334,49.16383333333335,50.105,42.95333333333334
2017-12-18 10:00:00,53.46775,49.16383333333335,49.97024999999999,42.86366666666667
2017-12-18 11:00:00,53.60233333333333,49.29825000000002,50.23941666666666,42.95333333333334
2017-12-18 12:00:00,53.8265,49.74616666666668,50.374249999999996,43.1775
2017-12-18 13:00:00,53.91616666666667,49.70141666666668,50.64333333333334,43.132666666666665
2017-12-18 14:00:00,53.781666666666666,49.47750000000002,50.28458333333333,43.043000000000006
2017-12-18 15:00:00,53.512499999999996,49.11900000000002,50.10516666666666,42.81883333333334
2017-12-18 16:00:00,53.378083333333336,49.02925000000001,49.746166666666674,42.684333333333335
2017-12-18 17:00:00,53.42291666666667,49.253500000000024,49.92583333333334,42.54983333333333
2017-12-18 18:00:00,53.28825,48.984416666666675,49.83600000000001,42.504999999999995
2017-12-18 19:00:00,53.33325,48.894833333333345,49.79108333333334,42.505
2017-12-18 20:00:00,53.243500000000004,49.074166666666684,49.79108333333335,42.729166666666664
2017-12-18 21:00:00,53.33308333333334,49.20866666666669,49.746500000000005,42.729166666666664
2017-12-18 22:00:00,53.557500000000005,49.11900000000002,49.83583333333334,42.46016666666666
2017-12-18 23:00:00,53.51266666666667,49.16383333333335,49.9255,42.684333333333335
2017-12-19 00:00:00,53.46783333333334,49.074166666666684,49.92566666666668,42.81883333333334
2017-12-19 01:00:00,53.33325,48.850000000000016,49.880750000000006,42.59466666666666
2017-12-19 02:00:00,53.467666666666666,49.074166666666684,50.015166666666666,42.81883333333334
2017-12-19 03:00:00,53.42291666666667,49.02933333333335,49.746166666666674,42.684333333333335
2017-12-19 04:00:00,53.46783333333334,49.16383333333335,49.880583333333334,42.6395
2017-12-19 05:00:00,53.467749999999995,48.76033333333334,49.83566666666667,42.54983333333333
2017-12-19 06:00:00,53.5575,48.98450000000002,49.880750000000006,42.729166666666664
2017-12-19 07:00:00,54.49883333333333,49.701750000000004,50.5085,42.99816666666667
2017-12-19 08:00:00,56.51633333333334,49.97058333333334,51.091499999999996,43.71541666666668
2017-12-19 09:00:00,64.8105,56.1575,56.29216666666667,46.046833333333346
2017-12-19 10:00:00,61.358250000000005,53.24341666666667,53.37800000000001,44.97075000000001
2017-12-19 11:00:00,57.995833333333344,51.89858333333333,52.43658333333334,43.939666666666675
2017-12-19 12:00:00,54.76800000000002,50.508833333333335,51.45033333333333,43.49133333333334
2017-12-19 13:00:00,54.49900000000002,50.28458333333333,51.49516666666667,43.80516666666668
2017-12-19 14:00:00,54.49900000000002,50.14983333333333,50.91233333333334,43.40166666666667
2017-12-19 15:00:00,54.543833333333346,49.79108333333334,50.82266666666667,43.267166666666675
2017-12-19 16:00:00,54.185166666666674,49.61208333333335,50.59833333333333,43.08783333333334
2017-12-19 17:00:00,53.91616666666667,49.38766666666668,50.06025,42.63949999999999
2017-12-19 18:00:00,53.557500000000005,48.98450000000002,49.656833333333346,42.280833333333334
2017-12-19 19:00:00,53.24341666666667,48.44650000000001,49.43283333333335,42.32566666666666
2017-12-19 20:00:00,53.10874999999999,48.536166666666674,49.25341666666668,42.14633333333333
2017-12-19 21:00:00,57.50266666666667,50.37425000000001,51.58466666666667,43.356833333333334
2017-12-19 22:00:00,55.88875000000001,50.23975000000001,51.046750000000024,43.08783333333333
2017-12-19 23:00:00,53.69200000000001,48.356833333333334,49.29833333333335,42.19116666666666
2017-12-20 00:00:00,54.005833333333335,48.40166666666667,49.47741666666668,42.32566666666666
2017-12-20 01:00:00,53.602250000000005,48.312000000000005,49.29833333333335,42.19116666666667
2017-12-20 02:00:00,53.781666666666666,48.40166666666667,49.47758333333335,42.3705
2017-12-20 03:00:00,53.692,48.49133333333334,49.38783333333334,42.3705
2017-12-20 04:00:00,53.73683333333333,48.49133333333334,49.29833333333335,42.32566666666666
2017-12-20 05:00:00,53.8265,48.536166666666674,49.56716666666668,42.32566666666666
2017-12-20 06:00:00,53.64716666666667,48.40166666666667,49.34308333333335,42.32566666666666
2017-12-20 07:00:00,53.647083333333335,48.49133333333334,49.522250000000014,42.41533333333333
2017-12-20 08:00:00,53.8265,48.49133333333334,49.43275000000002,42.236
2017-12-20 09:00:00,53.961000000000006,48.40166666666667,49.522250000000014,42.3705
2017-12-20 10:00:00,53.91616666666667,48.98450000000002,49.790916666666675,42.54983333333333
2017-12-20 11:00:00,54.005833333333335,49.11900000000002,49.79108333333334,42.59466666666666
2017-12-20 12:00:00,54.05066666666667,48.894833333333345,50.01499999999999,42.81883333333334
2017-12-20 13:00:00,53.8265,48.76033333333334,49.61175000000001,42.684333333333335
2017-12-20 14:00:00,53.91616666666667,48.356833333333334,49.342916666666675,42.14633333333333
2017-12-20 15:00:00,53.8265,48.670666666666676,49.567000000000014,42.54983333333333
2017-12-20 16:00:00,53.8265,48.62583333333334,49.47750000000002,42.41533333333333
2017-12-20 17:00:00,53.91616666666667,48.49133333333334,49.522250000000014,42.46016666666666
2017-12-20 18:00:00,53.781666666666666,48.49133333333334,49.567000000000014,42.28083333333333
2017-12-20 19:00:00,53.647166666666664,47.95333333333334,49.11891666666668,42.01183333333333
2017-12-20 20:00:00,52.88466666666667,48.1775,49.074166666666684,41.87733333333333
2017-12-20 21:00:00,53.15375,47.325666666666656,48.17750000000001,40.935833333333335
2017-12-20 22:00:00,52.83958333333334,46.96699999999999,47.729166666666664,40.44266666666667
2017-12-20 23:00:00,52.5255,46.56349999999998,47.46016666666667,40.44266666666667
2017-12-21 00:00:00,52.525666666666666,46.65316666666666,47.3705,40.352999999999994
